"CUSTOMER_ID","ACQUISITION_TYPE","REFERENCE_ID","PHONE_NUMBER","CUSTOMER_GENDER","DATE_OF_BIRTH","FIRST_NAME","LAST_NAME","CUSTOMER_EMAIL","POST_CODE","HOUSE_NUMBER","AD_ID"
"C1","Paid","","9158042620","Female","2003-02-01"," Akankcha","Wu","akankcha_wu@outlook.com","S73 8LY","17","AD1015"
"C2","Paid","","9105895751","Female","2000-07-01"," Joi","Agbim","joi_agbim@yahoo.com","CT16 2LW","13","AD1014"
"C3","Organic","","4431648208","Female","1995-04-28"," Brady","Nelson","brady_nelson@gmail.com","KA27 8EF","37",""
"C4","Paid","","7551949887","Female","1989-05-16"," Ignatius","Phontavee","ignatius_phontavee@gmail.com","PO22 8PX","33","AD1023"
"C5","Organic","","2921186926","Female","1982-08-08"," Alexis","Vasquez","alexis_vasquez@hotmail.com","L25 8SB","8",""
"C6","Paid","","7207976683","Male","1995-01-27"," Andrew","Long","andrew_long@gmail.com","KT17 1UH","16","AD1045"
"C7","Organic","","1057510884","Male","1988-04-20"," Josephine","Belzer","josephine_belzer@gmail.com","BT42 2SJ","12",""
"C8","Organic","","8858886962","Female","1983-10-05"," Cydney","Osborne","cydney_osborne@gmail.com","WA9 3XQ","42",""
"C9","Organic","","8979012188","Female","2000-11-12"," Manaahil","el-Salman","manaahil_el-salman@hotmail.com","SP11 6AJ","46",""
"C10","Paid","","5241370793","Male","1997-06-25"," Abdul Quddoos","al-Pashia","abdulquddoos_al-pashia@hotmail.com","CO10 0DH","23","AD1016"
"C11","Paid","","2518932182","Female","1980-08-18"," Erin","Matthews","erin_matthews@outlook.com","TD8 6BH","12","AD1030"
"C12","Organic","","3340206574","Female","1991-11-07"," Zachary","Jefferson","zachary_jefferson@outlook.com","BS5 8FD","19",""
"C13","Paid","","2269969418","Female","1994-04-03"," Hien","Rodriguez","hien_rodriguez@gmail.com","S75 2BB","28","AD1022"
"C14","Organic","","2251220647","Female","1982-08-25"," Melanie","Hooper-Washington","melanie_hooper-washington@gmail.com","GL51 6SE","29",""
"C15","Organic","","2630663394","Female","1988-01-12"," Sierra","Tilley","sierra_tilley@yahoo.com","GU35 8HD","12",""
"C16","Paid","","5964635796","Male","2002-11-25"," Monaye","White","monaye_white@gmail.com","HX7 5HZ","39","AD1010"
"C17","Referral","C11","4179226907","Male","1985-08-24"," Kaishon","Bursey","kaishon_bursey@gmail.com","SG1 6BQ","15",""
"C18","Organic","","8930869573","Male","1997-07-18"," Caleb","Parra","caleb_parra@yahoo.com","WF15 8AT","37",""
"C19","Organic","","7760550697","Male","1993-06-15"," A'Layjah","Birdsong","a'layjah_birdsong@yahoo.com","JE3 9HG","29",""
"C20","Organic","","1132608288","Female","1985-01-09"," Taaj","el-Salehi","taaj_el-salehi@gmail.com","OL4 1LW","8",""
"C21","Paid","","9057336532","Male","1981-07-17"," Isaiah","Little","isaiah_little@yahoo.com","CH46 2QE","13","AD1003"
"C22","Organic","","8719660493","Female","2002-06-19"," Megha","Patria","megha_patria@outlook.com","NR1 2FA","3",""
"C23","Paid","","2851133663","Male","2004-05-02"," Michelle","Nguyen","michelle_nguyen@outlook.com","M28 7XD","41","AD1022"
"C24","Organic","","8542206856","Female","1990-11-26"," Dontae","Lewis","dontae_lewis@outlook.com","BB5 0QA","38",""
"C25","Paid","","9824413188","Male","1985-08-31"," Westley","Begay","westley_begay@gmail.com","LS25 6EQ","10","AD1012"
"C26","Organic","","7283906076","Male","1999-08-15"," Steve","Gibson","steve_gibson@yahoo.com","IM2 6HH","47",""
"C27","Paid","","7534592038","Male","1985-09-04"," Ashley","Albright","ashley_albright@yahoo.com","IG8 7EP","16","AD1037"
"C28","Paid","","7076326838","Male","1990-10-23"," Reilly","Jaworski","reilly_jaworski@gmail.com","NR19 1JY","20","AD1045"
"C29","Organic","","4830083448","Male","2000-01-31"," Ibrahim","al-Amer","ibrahim_al-amer@hotmail.com","SS11 8NJ","4",""
"C30","Paid","","7947866757","Male","1999-08-20"," Sarah","Fourhorn","sarah_fourhorn@yahoo.com","SN3 5BS","3","AD1028"
"C31","Organic","","7347892553","Male","1989-08-19"," Lisa","Mamo","lisa_mamo@gmail.com","DN10 4JT","32",""
"C32","Paid","","9191578841","Female","1992-01-29"," Martin","Lenahan","martin_lenahan@outlook.com","CR0 4YZ","7","AD1039"
"C33","Organic","","6510874005","Male","1991-12-21"," William","Jenkins","william_jenkins@hotmail.com","OL11 2DU","48",""
"C34","Paid","","5344544479","Female","2006-01-19"," Mutammam","al-Sami","mutammam_al-sami@outlook.com","BD24 0JT","24","AD1023"
"C35","Organic","","5357270297","Female","1983-03-08"," Chase","Fierro Trejo","chase_fierrotrejo@gmail.com","DA12 4PX","37",""
"C36","Organic","","5918655728","Male","1984-06-22"," Katherine","Li","katherine_li@hotmail.com","KA9 1AA","28",""
"C37","Paid","","3373055724","Female","2002-03-12"," Yaasmeena","el-Akel","yaasmeena_el-akel@gmail.com","SO52 9DG","7","AD1018"
"C38","Paid","","1445923129","Male","1983-12-07"," Alexander","Nguyen","alexander_nguyen@outlook.com","SR6 9DB","44","AD1049"
"C39","Paid","","6553927988","Female","1999-01-24"," Saadiq","al-Lone","saadiq_al-lone@outlook.com","PO22 6BE","45","AD1045"
"C40","Organic","","9869704701","Male","1980-02-03"," Kelly","Hamilton","kelly_hamilton@hotmail.com","IG6 1PH","33",""
"C41","Paid","","1966112574","Male","1983-07-06"," Bakar","el-Ullah","bakar_el-ullah@yahoo.com","S40 3SS","41","AD1042"
"C42","Organic","","4181985605","Female","1994-04-03"," Khairiya","al-Lone","khairiya_al-lone@yahoo.com","NE46 1QB","17",""
"C43","Organic","","5246475087","Male","1994-03-02"," Angelo","Cabazos","angelo_cabazos@gmail.com","CF14 7BT","34",""
"C44","Referral","C41","2495262450","Male","1987-03-13"," Samantha","Yearout","samantha_yearout@yahoo.com","LS6 4AF","39",""
"C45","Organic","","9502034061","Female","1985-07-09"," Brieanna","Gonring","brieanna_gonring@hotmail.com","SW4 7NP","20",""
"C46","Paid","","5022320996","Male","1998-07-31"," Samuel","Cherry","samuel_cherry@yahoo.com","DD1 1LB","19","AD1028"
"C47","Organic","","3779725428","Female","1997-05-01"," Kareem","Mabry","kareem_mabry@outlook.com","HG5 0PW","7",""
"C48","Organic","","8650283631","Male","1985-12-14"," Isaac","Schrader","isaac_schrader@hotmail.com","RG22 6DS","39",""
